NAME,DISPLAY_NAME,ALLOWED_RANGES,DEFAULT_VALUE,DESCRIPTION
"rcfg_debug","rcfg_debug","0 1","0",""
"rcfg_enable","Enable dynamic reconfiguration","{0 1}","0","Enables the dynamic reconfiguration interface."
"rcfg_jtag_enable","Enable Native PHY Debug Master Endpoint","{0 1}","0","When enabled, the PLL IP includes an embedded Native PHY Debug Master Endpoint that connects internally Avalon-MM slave interface. The Native PHY Debug Master Endpoint can access the reconfiguration space of the transceiver. It can perform certain test and debug functions via JTAG using the System Console. This option requires you to enable the "Share reconfiguration interface" option for configurations using more than 1 channel and may also require that a jtag_debug link be included in the system."
"rcfg_separate_avmm_busy","Separate reconfig_waitrequest from the status of AVMM arbitration with PreSICE","{0 1}","0","When enabled, the reconfig_waitrequest will not indicate the status of AVMM arbitration with PreSICE.  The AVMM arbitration status will be reflected in a soft status register bit.  This feature requires that the "Enable control and status registers" feature under "Optional Reconfiguration Logic" be enabled.  For more information, please refer to the User Guide."
"rcfg_enable_avmm_busy_port","Enable avmm_busy port","{0 1}","0","Enable the port for avmm_busy"
"set_capability_reg_enable","Enable capability registers","{0 1}","0","Enables capability registers, which provide high level information about the transceiver PLL's configuration"
"set_user_identifier","Set user-defined IP identifier","0:255","0","Sets a user-defined numeric identifier that can be read from the user_identifer offset when the capability registers are enabled"
"set_csr_soft_logic_enable","Enable control and status registers","{0 1}","0","Enables soft registers for reading status signals and writing control signals on the phy interface through the embedded debug. Available signals include pll_cal_busy, pll_locked and pll_powerdown.  For more details, please refer to the User Guide."
"rcfg_file_prefix","Configuration file prefix","","altera_xcvr_fpll_s10","Specifies the file prefix to use for generated configuration files when enabled. Each variant of the IP should use a unique prefix for configuration files."
"rcfg_files_as_common_package","Declare SystemVerilog package file as common package file","{0 1}","0","Declares the SystemVerilog reconfig file as common package."
"rcfg_sv_file_enable","Generate SystemVerilog package file","{0 1}","0","When enabled, The IP will generate a SystemVerilog package file named "(Configuration file prefix)_reconfig_parameters.sv" containing parameters defined with the attribute values needed for reconfiguration."
"rcfg_h_file_enable","Generate C header file","{0 1}","0","When enabled, The IP will generate a C header file named "(Configuration file prefix)_reconfig_parameters.h" containing macros defined with the attribute values needed for reconfiguration."
"rcfg_txt_file_enable","Generate text file","{0 1}","0","When enabled, The IP will generate a text file named "(Configuration file prefix)_reconfig_parameters.txt" containing the attribute values needed for reconfiguration."
"rcfg_mif_file_enable","Generate MIF (Memory Initialize File)","{0 1}","0","When enabled The IP will generate an Altera MIF (Memory Initialization File) named "(Configuration file prefix)_reconfig_parameters.mif". The MIF file contains the attribute values needed for reconfiguration in a data format."
"rcfg_multi_enable","Enable multiple reconfiguration profiles","{0 1}","0","When enabled, you can use the GUI to store multiple configurations. The IP will generate reconfiguration files for all of the stored profiles. The IP will also check your multiple reconfiguration profiles for consistency to ensure you can reconfigure between them."
"set_rcfg_emb_strm_enable","Enable embedded reconfiguration streamer","{0 1}","0","Enables the embedded reconfiguration streamer, which automates the dynamic reconfiguration process between multiple predefined configuration profiles."
"rcfg_reduced_files_enable","Generate reduced reconfiguration files","{0 1}","0","When enabled, The Native PHY generates reconfiguration report files containing only the attributes or RAM data that are different between the multiple configured profiles."
"rcfg_profile_cnt","Number of reconfiguration profiles","1 2 3 4 5 6 7 8","2","Specifies the number of reconfiguration profiles to support when multiple reconfiguration profiles are enabled."
"rcfg_profile_select","Store current configuration to profile:","0 1","1","Selects which reconfiguration profile to store when clicking the "Store profile" button."
"rcfg_profile_data0","rcfg_profile_data0","","","Dynamic reconfiguration parameter data for Profile 0"
"rcfg_profile_data1","rcfg_profile_data1","","","Dynamic reconfiguration parameter data for Profile 1"
"rcfg_profile_data2","rcfg_profile_data2","","","Dynamic reconfiguration parameter data for Profile 2"
"rcfg_profile_data3","rcfg_profile_data3","","","Dynamic reconfiguration parameter data for Profile 3"
"rcfg_profile_data4","rcfg_profile_data4","","","Dynamic reconfiguration parameter data for Profile 4"
"rcfg_profile_data5","rcfg_profile_data5","","","Dynamic reconfiguration parameter data for Profile 5"
"rcfg_profile_data6","rcfg_profile_data6","","","Dynamic reconfiguration parameter data for Profile 6"
"rcfg_profile_data7","rcfg_profile_data7","","","Dynamic reconfiguration parameter data for Profile 7"
"rcfg_sdc_derived_profile_data0","rcfg_sdc_derived_profile_data0","","",""
"rcfg_sdc_derived_profile_data1","rcfg_sdc_derived_profile_data1","","",""
"rcfg_sdc_derived_profile_data2","rcfg_sdc_derived_profile_data2","","",""
"rcfg_sdc_derived_profile_data3","rcfg_sdc_derived_profile_data3","","",""
"rcfg_sdc_derived_profile_data4","rcfg_sdc_derived_profile_data4","","",""
"rcfg_sdc_derived_profile_data5","rcfg_sdc_derived_profile_data5","","",""
"rcfg_sdc_derived_profile_data6","rcfg_sdc_derived_profile_data6","","",""
"rcfg_sdc_derived_profile_data7","rcfg_sdc_derived_profile_data7","","",""
"enable_manual_configuration","enable_manual_configuration","0 1","1",""
"generate_docs","Generate parameter documentation file","{0 1}","1","When enabled, generation will produce a .CSV file with descriptions of the IP parameters."
"generate_add_hdl_instance_example","Generate '_hw.tcl' 'add_hdl_instance' example file","{0 1}","0","When enabled, generation will produce a file containing an example of how to use the '_hw.tcl' 'add_hdl_instance' API. The example will be correct for the current configuration of the IP."
"device_family","device_family","","Stratix 10",""
"device","device","","Unknown",""
"base_device","base_device","","Unknown",""
"device_die_types","device_die_types","","Unknown",""
"device_die_revisions","device_die_revisions","","Unknown",""
"set_x1_core_clock","Enable /1 output clock","","true","The divide by 1 clock output is always enabled in core mode. No phase relations to refclk"
"set_x2_core_clock","Enable /2 output clock","","false","Enable the divide by 2 clock in core mode. Phase aligned to divide by 1 clock."
"set_x4_core_clock","Enable /4 output clock","","false","Enable the divide by 4 clock in core mode. Phase aligned to divide by 1 clock"
"set_primary_use","FPLL Mode","0:Core {1:Cascade Source} 2:Transceiver","2","Selects the primary operation mode of the FPLL (Core/Transceiver/Cascade source."
"test_mode","Enable Test Mode","false true","false","Selects the test mode option to bypass VCO primarily."
"enable_pld_fpll_cal_busy_port","enable_pld_fpll_cal_busy_port","0 1","1",""
"usr_enable_vco_bypass","Enable FPLL VCO Bypass","","false","Selects the support mode (user or engineering). Engineering mode options are not officially supported by Intel or Quartus Prime."
"enable_debug_ports_parameters","Enable debug ports && parameters","{0 1}","0",""
"support_mode","Support mode","user_mode engineering_mode","user_mode","Selects the support mode (user or engineering). Engineering mode options are not officially supported by Intel or Quartus Prime."
"message_level","Message level for rule violations","error warning","error","Specifies the messaging level to use for parameter rule violations. Selecting "error" will cause all rule violations to prevent IP generation. Selecting "warning" will display all rule violations as warnings and will allow IP generation in spite of violations."
"powerdown_mode","powerdown_mode","","powerup",""
"set_prot_mode","Protocol mode","0:Basic {1:PCIe G1} {2:PCIe G2} {3:PCIe G3} 4:SDI_cascade 5:OTN_cascade {6:SATA GEN3} 7:HDMI","0","The parameter is used to govern the rules for internal settings of the VCO. This parameter is not a "preset". You must still correctly set all other parameters for your protocol and application."
"set_bw_sel","Bandwidth","low medium high","medium","Specifies the VCO bandwidth."
"set_refclk_cnt","Number of PLL reference clocks","1 2 3 4 5","1","Specifies the number of input reference clocks for the FPLL."
"set_refclk_index","Selected reference clock source","0","0","Specifies the initially selected reference clock input to the FPLL."
"silicon_rev","Silicon revision ES","","false",""
"set_enable_hclk_out","Enable PCIe clock output port","{0 1}","0","This is the 1 GHz fixed PCIe clock output port and is intended for PIPE mode. The port should be connected to "pipe hclk input port"."
"enable_hip_cal_done_port","Enable calibration status ports for HIP","{0 1}","0","Enables calibration status port from PLL and Master CGB(if enabled) for HIP"
"enable_mcgb_hip_cal_done_port","Enable MCGB calibration status ports for HIP","{0 1}","0","Enables calibration status port from PLL and Master CGB(if enabled) for HIP"
"set_hip_cal_en","Enable PCIe hard IP calibration","{0 1}","0","INTERNAL USE ONLY. Enabling this parameter prioritizes the calibration for PCIe hard IP channels."
"set_output_clock_frequency","PLL output frequency","","2500.0","Specifies the target output frequency for the PLL."
"set_manual_output_clock_frequency","PLL output frequency","","2500.0","Specifies the target output frequency for the PLL in manual mode."
"set_enable_fractional","Enable fractional mode","{0 1}","0","Enables the fractional frequency synthesis mode. This enables the PLL to output frequencies which are not integral multiples of the input reference clock."
"set_auto_reference_clock_frequency","PLL integer mode reference clock frequency","50.0 50.505051 51.020408 51.546392 52.083333 52.631579 53.191489 53.763441 54.347826 54.945055 55.555556 56.179775 56.818182 57.471264 58.139535 58.823529 59.52381 60.240964 60.97561 61.728395 62.5 63.291139 64.102564 64.935065 65.789474 66.666667 67.567568 68.493151 69.444444 70.422535 71.428571 72.463768 73.529412 74.626866 75.757576 76.923077 78.125 79.365079 80.645161 81.967213 83.333333 84.745763 86.206897 87.719298 89.285714 90.909091 92.592593 94.339623 96.153846 98.039216 100.0 102.040816 104.166667 106.382979 108.695652 111.111111 113.636364 116.27907 119.047619 121.95122 125.0 128.205128 131.578947 135.135135 138.888889 142.857143 147.058824 151.515152 156.25 161.290323 166.666667 172.413793 178.571429 185.185185 192.307692 200.0 208.333333 217.391304 227.272727 238.095238 250.0 263.157895 277.777778 294.117647 312.5 333.333333 357.142857 384.615385 416.666667 454.545455 500.0 555.555556 625.0","100.0","Selects the input reference clock frequency for the PLL."
"set_manual_reference_clock_frequency","PLL reference clock frequency","","100.0","Specify the PLL reference clock frequency."
"set_fref_clock_frequency","PLL fractional mode reference clock frequency","","100.0","Selects the fractional reference clock frequency for the PLL."
"set_initial_phase_shift_units","PLL phase shift units","ps degrees","degrees","Specifies the initial phase shift units."
"set_initial_phase_shift","PLL initial phase shift","","0.0","Specifies the initial phase shift w.r.t the output clock frequency."
"set_enable_dps","Enable dynamic phase shift","{0 1}","0","Enables dynamic phase shift via core ports."
"select_manual_config","Configure counters manually","","false","Enables manual control of PLL counters."
"set_manual_m_counter","Multiply factor (M-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","50","M counter value in manual mode"
"set_manual_ref_clk_div","Divide factor (N-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","1","N counter value in manual mode"
"set_manual_l_counter","Divide factor (L-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","2","L counter value in manual mode"
"set_manual_c_counter","Divide factor (C-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","4","C counter value in manual mode"
"set_manual_k_counter","Fractional multiply factor (K)","","1","K counter value in manual mode"
"set_altera_xcvr_fpll_s10_calibration_en","Enable calibration","{0 1}","1","Enable transceiver calibration algorithms."
"outclk_en","outclk_en","","false",""
"enable_pcie_hip_connectivity","enable_pcie_hip_connectivity","0 1","0",""
"set_power_mode","VCCR_GXB and VCCT_GXB supply voltage for the Transceiver:","1_1V 1_0V","1_0V","Sets the voltage compatibility with the associated Native Phy IP"
"enable_analog_resets","Enable pll_powerdown and mcgb_rst ports","","false","Enable pll_powerdown port"
"enable_mcgb","Include Master Clock Generation Block","{0 1}","0","When enabled Master CGB will be included as part of the IP. PLL output will feed the Master CGB input."
"mcgb_div","Clock division factor","1 2 4 8","1","Divides the Master CGB clock input before generating bonding clocks."
"enable_hfreq_clk","Enable x24 non-bonded high-speed clock output port","{0 1}","0","This output port can be used to access x6/xN clock lines for non-bonded designs"
"enable_mcgb_pcie_clksw","Enable PCIe clock switch interface","{0 1}","0","Enables the control signals for PCIe clock switch circuitry"
"enable_mcgb_reset","Enable mcgb_rst and mcgb_rst_stat ports","{0 1}","0","Enables the mcgb_rst and mcgb_rst_stat ports. Use these ports to control the reset of master CGB for PCIE Gen 3 x2/x4/x8/x16 configuration. Refer to Stratix 10 user guide for the reset sequence of PCIE Gen3 multi-lane configurations."
"mcgb_aux_clkin_cnt","Number of auxiliary MCGB clock input ports.","0 1","0","Auxiliary input is intended for PCIe Gen3, hence not available in FPLL"
"enable_bonding_clks","Enable bonding clock output ports","{0 1}","0","Should be enable for bonded designs"
"enable_fb_comp_bonding","Enable feedback compensation bonding","{0 1}","0",""
"pma_width","PMA interface width","8 10 16 20 32 40 64","64","PMA-PCS Interface width. Proper value must be selected for bonding clocks to be generated properly for Native PHY IP."
"enable_pld_mcgb_cal_busy_port","enable_pld_mcgb_cal_busy_port","0 1","0",""
