NAME,DISPLAY_NAME,ALLOWED_RANGES,DEFAULT_VALUE,DESCRIPTION
"rcfg_debug","rcfg_debug","0 1","0",""
"rcfg_enable","Enable dynamic reconfiguration","{0 1}","0","Enables the dynamic reconfiguration interface."
"rcfg_jtag_enable","Enable Native PHY Debug Master Endpoint","{0 1}","0","When enabled, the PLL IP includes an embedded Native PHY Debug Master Endpoint that connects internally Avalon-MM slave interface. The Native PHY Debug Master Endpoint can access the reconfiguration space of the transceiver. It can perform certain test and debug functions via JTAG using the System Console. This option requires you to enable the "Share reconfiguration interface" option for configurations using more than 1 channel and may also require that a jtag_debug link be included in the system."
"rcfg_separate_avmm_busy","Separate reconfig_waitrequest from the status of AVMM arbitration with PreSICE","{0 1}","0","When enabled, the reconfig_waitrequest will not indicate the status of AVMM arbitration with PreSICE.  The AVMM arbitration status will be reflected in a soft status register bit.  This feature requires that the "Enable control and status registers" feature under "Optional Reconfiguration Logic" be enabled.  For more information, please refer to the User Guide."
"rcfg_enable_avmm_busy_port","Enable avmm_busy port","{0 1}","0","Enable the port for avmm_busy"
"set_capability_reg_enable","Enable capability registers","{0 1}","0","Enables capability registers, which provide high level information about the transceiver PLL's configuration"
"set_user_identifier","Set user-defined IP identifier","0:255","0","Sets a user-defined numeric identifier that can be read from the user_identifer offset when the capability registers are enabled"
"set_csr_soft_logic_enable","Enable control and status registers","{0 1}","0","Enables soft registers for reading status signals and writing control signals on the phy interface through the embedded debug. Available signals include pll_cal_busy, pll_locked and pll_powerdown.  For more details, please refer to the User Guide."
"rcfg_file_prefix","Configuration file prefix","","altera_xcvr_fpll_s10","Specifies the file prefix to use for generated configuration files when enabled. Each variant of the IP should use a unique prefix for configuration files."
"rcfg_files_as_common_package","Declare SystemVerilog package file as common package file","{0 1}","0","Declares the SystemVerilog reconfig file as common package."
"rcfg_sv_file_enable","Generate SystemVerilog package file","{0 1}","0","When enabled, The IP will generate a SystemVerilog package file named "(Configuration file prefix)_reconfig_parameters.sv" containing parameters defined with the attribute values needed for reconfiguration."
"rcfg_h_file_enable","Generate C header file","{0 1}","0","When enabled, The IP will generate a C header file named "(Configuration file prefix)_reconfig_parameters.h" containing macros defined with the attribute values needed for reconfiguration."
"rcfg_txt_file_enable","Generate text file","{0 1}","0","When enabled, The IP will generate a text file named "(Configuration file prefix)_reconfig_parameters.txt" containing the attribute values needed for reconfiguration."
"rcfg_mif_file_enable","Generate MIF (Memory Initialize File)","{0 1}","0","When enabled The IP will generate an Altera MIF (Memory Initialization File) named "(Configuration file prefix)_reconfig_parameters.mif". The MIF file contains the attribute values needed for reconfiguration in a data format."
"rcfg_multi_enable","Enable multiple reconfiguration profiles","{0 1}","0","When enabled, you can use the GUI to store multiple configurations. The IP will generate reconfiguration files for all of the stored profiles. The IP will also check your multiple reconfiguration profiles for consistency to ensure you can reconfigure between them."
"set_rcfg_emb_strm_enable","Enable embedded reconfiguration streamer","{0 1}","0","Enables the embedded reconfiguration streamer, which automates the dynamic reconfiguration process between multiple predefined configuration profiles."
"rcfg_reduced_files_enable","Generate reduced reconfiguration files","{0 1}","0","When enabled, The Native PHY generates reconfiguration report files containing only the attributes or RAM data that are different between the multiple configured profiles."
"rcfg_profile_cnt","Number of reconfiguration profiles","1 2 3 4 5 6 7 8","2","Specifies the number of reconfiguration profiles to support when multiple reconfiguration profiles are enabled."
"rcfg_profile_select","Store current configuration to profile:","0 1","1","Selects which reconfiguration profile to store when clicking the "Store profile" button."
"rcfg_profile_data0","rcfg_profile_data0","","","Dynamic reconfiguration parameter data for Profile 0"
"rcfg_profile_data1","rcfg_profile_data1","","","Dynamic reconfiguration parameter data for Profile 1"
"rcfg_profile_data2","rcfg_profile_data2","","","Dynamic reconfiguration parameter data for Profile 2"
"rcfg_profile_data3","rcfg_profile_data3","","","Dynamic reconfiguration parameter data for Profile 3"
"rcfg_profile_data4","rcfg_profile_data4","","","Dynamic reconfiguration parameter data for Profile 4"
"rcfg_profile_data5","rcfg_profile_data5","","","Dynamic reconfiguration parameter data for Profile 5"
"rcfg_profile_data6","rcfg_profile_data6","","","Dynamic reconfiguration parameter data for Profile 6"
"rcfg_profile_data7","rcfg_profile_data7","","","Dynamic reconfiguration parameter data for Profile 7"
"rcfg_sdc_derived_profile_data0","rcfg_sdc_derived_profile_data0","","",""
"rcfg_sdc_derived_profile_data1","rcfg_sdc_derived_profile_data1","","",""
"rcfg_sdc_derived_profile_data2","rcfg_sdc_derived_profile_data2","","",""
"rcfg_sdc_derived_profile_data3","rcfg_sdc_derived_profile_data3","","",""
"rcfg_sdc_derived_profile_data4","rcfg_sdc_derived_profile_data4","","",""
"rcfg_sdc_derived_profile_data5","rcfg_sdc_derived_profile_data5","","",""
"rcfg_sdc_derived_profile_data6","rcfg_sdc_derived_profile_data6","","",""
"rcfg_sdc_derived_profile_data7","rcfg_sdc_derived_profile_data7","","",""
"enable_manual_configuration","enable_manual_configuration","0 1","1",""
"generate_docs","Generate parameter documentation file","{0 1}","1","When enabled, generation will produce a .CSV file with descriptions of the IP parameters."
"generate_add_hdl_instance_example","Generate '_hw.tcl' 'add_hdl_instance' example file","{0 1}","0","When enabled, generation will produce a file containing an example of how to use the '_hw.tcl' 'add_hdl_instance' API. The example will be correct for the current configuration of the IP."
"device_family","device_family","","Stratix 10",""
"device","device","","Unknown",""
"base_device","base_device","","Unknown",""
"device_die_types","device_die_types","","Unknown",""
"device_die_revisions","device_die_revisions","","Unknown",""
"set_x1_core_clock","Enable /1 output clock","","true","The divide by 1 clock output is always enabled in core mode. No phase relations to refclk"
"set_x2_core_clock","Enable /2 output clock","","false","Enable the divide by 2 clock in core mode. Phase aligned to divide by 1 clock."
"set_x4_core_clock","Enable /4 output clock","","false","Enable the divide by 4 clock in core mode. Phase aligned to divide by 1 clock"
"set_primary_use","FPLL Mode","0:Core {1:Cascade Source} 2:Transceiver","2","Selects the primary operation mode of the FPLL (Core/Transceiver/Cascade source."
"test_mode","Enable Test Mode","false true","false","Selects the test mode option to bypass VCO primarily."
"enable_pld_fpll_cal_busy_port","enable_pld_fpll_cal_busy_port","0 1","1",""
"usr_enable_vco_bypass","Enable FPLL VCO Bypass","","false","Selects the support mode (user or engineering). Engineering mode options are not officially supported by Intel or Quartus Prime."
"enable_debug_ports_parameters","Enable debug ports && parameters","{0 1}","0",""
"support_mode","Support mode","user_mode engineering_mode","user_mode","Selects the support mode (user or engineering). Engineering mode options are not officially supported by Intel or Quartus Prime."
"message_level","Message level for rule violations","error warning","error","Specifies the messaging level to use for parameter rule violations. Selecting "error" will cause all rule violations to prevent IP generation. Selecting "warning" will display all rule violations as warnings and will allow IP generation in spite of violations."
"powerdown_mode","powerdown_mode","","powerup",""
"set_prot_mode","Protocol mode","0:Basic {1:PCIe G1} {2:PCIe G2} {3:PCIe G3} 4:SDI_cascade 5:OTN_cascade {6:SATA GEN3} {7:HDMI Low Refclk}","0","The parameter is used to govern the rules for internal settings of the VCO. This parameter is not a "preset". You must still correctly set all other parameters for your protocol and application."
"set_bw_sel","Bandwidth","low medium high","medium","Specifies the VCO bandwidth."
"set_refclk_cnt","Number of PLL reference clocks","1 2 3 4 5","1","Specifies the number of input reference clocks for the FPLL."
"set_refclk_index","Selected reference clock source","0","0","Specifies the initially selected reference clock input to the FPLL."
"silicon_rev","Silicon revision ES","","false",""
"set_enable_hclk_out","Enable PCIe clock output port","{0 1}","0","This is the 1 GHz fixed PCIe clock output port and is intended for PIPE mode. The port should be connected to "pipe hclk input port"."
"enable_hip_cal_done_port","Enable calibration status ports for HIP","{0 1}","0","Enables calibration status port from PLL and Master CGB(if enabled) for HIP"
"enable_mcgb_hip_cal_done_port","Enable MCGB calibration status ports for HIP","{0 1}","0","Enables calibration status port from PLL and Master CGB(if enabled) for HIP"
"set_hip_cal_en","Enable PCIe hard IP calibration","{0 1}","0","INTERNAL USE ONLY. Enabling this parameter prioritizes the calibration for PCIe hard IP channels."
"set_output_clock_frequency","PLL output frequency","","2500.0","Specifies the target output frequency for the PLL."
"set_manual_output_clock_frequency","PLL output frequency","","2500.0","Specifies the target output frequency for the PLL in manual mode."
"set_enable_fractional","Enable fractional mode","{0 1}","0","Enables the fractional frequency synthesis mode. This enables the PLL to output frequencies which are not integral multiples of the input reference clock."
"set_auto_reference_clock_frequency","PLL integer mode reference clock frequency","50.0 50.505051 51.020408 51.546392 52.083333 52.631579 53.191489 53.763441 54.347826 54.945055 55.555556 56.179775 56.818182 57.471264 58.139535 58.823529 59.52381 60.240964 60.97561 61.728395 62.5 63.291139 64.102564 64.935065 65.789474 66.666667 67.567568 68.493151 69.444444 70.422535 71.428571 72.463768 73.529412 74.626866 75.757576 76.923077 78.125 79.365079 80.645161 81.967213 83.333333 84.745763 86.206897 87.719298 89.285714 90.909091 92.592593 94.339623 96.153846 98.039216 100.0 101.010101 102.040816 103.092784 104.166667 105.263158 106.382979 107.526882 108.695652 109.89011 111.111111 112.359551 113.636364 114.942529 116.27907 117.647059 119.047619 120.481928 121.95122 123.45679 125.0 126.582278 128.205128 129.87013 131.578947 133.333333 135.135135 136.986301 138.888889 140.84507 142.857143 144.927536 147.058824 149.253731 150.0 151.515152 153.061224 153.846154 154.639175 156.25 157.894737 158.730159 159.574468 161.290323 163.043478 163.934426 164.835165 166.666667 168.539326 169.491525 170.454545 172.413793 174.418605 175.438596 176.470588 178.571429 180.722892 181.818182 182.926829 185.185185 187.5 188.679245 189.873418 192.307692 194.805195 196.078431 197.368421 200.0 202.020202 202.702703 204.081633 205.479452 206.185567 208.333333 210.526316 211.267606 212.765957 214.285714 215.053763 217.391304 219.78022 220.588235 222.222222 223.880597 224.719101 227.272727 229.885057 230.769231 232.55814 234.375 235.294118 238.095238 240.963855 241.935484 243.902439 245.901639 246.91358 250.0 252.525253 253.164557 254.237288 255.102041 256.410256 257.731959 258.62069 259.74026 260.416667 263.157895 265.957447 266.666667 267.857143 268.817204 270.27027 271.73913 272.727273 273.972603 274.725275 277.777778 280.898876 281.690141 283.018868 284.090909 285.714286 287.356322 288.461538 289.855072 290.697674 294.117647 297.619048 298.507463 300.0 301.204819 303.030303 304.878049 306.122449 307.692308 308.641975 309.278351 312.5 315.789474 316.455696 317.460317 319.148936 320.512821 322.580645 324.675325 326.086957 327.868852 328.947368 329.67033 333.333333 337.078652 337.837838 338.983051 340.909091 342.465753 344.827586 347.222222 348.837209 350.0 350.877193 352.112676 352.941176 353.535354 357.142857 360.824742 361.445783 362.318841 363.636364 364.583333 365.853659 367.647059 368.421053 370.37037 372.340426 373.134328 375.0 376.344086 377.358491 378.787879 379.746835 380.434783 384.615385 388.888889 389.61039 390.625 392.156863 393.258427 394.736842 396.825397 397.727273 400.0 402.298851 403.225806 404.040404 405.405405 406.976744 408.163265 409.836066 410.958904 411.764706 412.371134 416.666667 421.052632 421.686747 422.535211 423.728814 425.531915 426.829268 428.571429 430.107527 431.034483 432.098765 434.782609 437.5 438.596491 439.56044 441.176471 443.037975 444.444444 446.428571 447.761194 448.717949 449.438202 450.0 454.545455 459.183673 459.770115 460.526316 461.538462 462.962963 463.917526 465.116279 466.666667 468.75 470.588235 471.698113 472.972973 473.684211 476.190476 478.723404 479.452055 480.769231 481.927711 483.870968 486.111111 487.804878 489.130435 490.196078 491.803279 492.957746 493.82716 494.505495 500.0 505.050505 505.617978 506.329114 507.246377 508.474576 510.204082 511.363636 512.820513 514.705882 515.463918 517.241379 519.480519 520.833333 522.38806 523.255814 526.315789 529.411765 530.30303 531.914894 533.333333 535.714286 537.634409 538.461538 540.540541 542.168675 543.478261 545.454545 546.875 547.945205 548.780488 549.450549 550.0 555.555556 561.22449 561.797753 562.5 563.380282 564.516129 566.037736 567.010309 568.181818 569.620253 571.428571 572.916667 573.770492 574.712644 576.923077 578.947368 579.710145 581.395349 583.333333 584.415584 585.106383 588.235294 591.397849 592.105263 593.220339 595.238095 597.014925 597.826087 600.0 602.409639 603.448276 604.395604 606.060606 608.108108 609.756098 611.111111 612.244898 614.035088 615.384615 616.438356 617.283951 617.977528 618.556701 625.0 631.578947 632.183908 632.911392 633.802817 634.920635 636.363636 638.297872 639.534884 641.025641 642.857143 645.16129 647.058824 648.148148 649.350649 650.0 652.173913 654.761905 655.737705 656.565657 657.894737 659.340659 660.377358 661.764706 662.650602 663.265306 666.666667 670.103093 670.731707 671.641791 673.076923 674.157303 675.675676 677.083333 677.966102 679.012346 681.818182 684.210526 684.931507 686.27451 687.5 689.655172 691.489362 692.307692 694.444444 696.202532 697.674419 698.924731 700.0 701.754386 703.125 704.225352 705.128205 705.882353 706.521739 707.070707 714.285714 721.649485 722.222222 722.891566 723.684211 724.637681 725.806452 727.272727 729.166667 730.337079 731.707317 733.333333 735.294118 736.842105 737.704918 738.636364 740.740741 743.243243 744.680851 746.268657 747.126437 750.0 752.688172 753.424658 754.716981 755.813953 757.575758 759.493671 760.869565 762.711864 763.888889 764.705882 765.306122 769.230769 773.195876 773.809524 774.647887 775.862069 777.777778 779.220779 781.25 783.13253 784.313725 785.714286 786.516854 789.473684 792.682927 793.650794 795.454545 797.101449 797.87234 800.0","100.0","Selects the input reference clock frequency for the PLL."
"set_manual_reference_clock_frequency","PLL reference clock frequency","","100.0","Specify the PLL reference clock frequency."
"set_fref_clock_frequency","PLL fractional mode reference clock frequency","","100.0","Selects the fractional reference clock frequency for the PLL."
"set_initial_phase_shift_units","PLL phase shift units","ps degrees","degrees","Specifies the initial phase shift units."
"set_initial_phase_shift","PLL initial phase shift","","0.0","Specifies the initial phase shift w.r.t the output clock frequency."
"set_enable_dps","Enable dynamic phase shift","{0 1}","0","Enables dynamic phase shift via core ports."
"select_manual_config","Configure counters manually","","false","Enables manual control of PLL counters."
"set_manual_m_counter","Multiply factor (M-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","50","M counter value in manual mode"
"set_manual_ref_clk_div","Divide factor (N-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","1","N counter value in manual mode"
"set_manual_l_counter","Divide factor (L-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","2","L counter value in manual mode"
"set_manual_c_counter","Divide factor (C-Counter)","0::altera_xcvr_fpll_s10::parameters::update_manual_config","4","C counter value in manual mode"
"set_manual_k_counter","Fractional multiply factor (K)","","1","K counter value in manual mode"
"set_altera_xcvr_fpll_s10_calibration_en","Enable calibration","{0 1}","1","Enable transceiver calibration algorithms."
"outclk_en","outclk_en","","false",""
"enable_pcie_hip_connectivity","enable_pcie_hip_connectivity","0 1","0",""
"set_power_mode","VCCR_GXB and VCCT_GXB supply voltage for the Transceiver:","1_1V 1_0V","1_0V","Sets the voltage compatibility with the associated Native Phy IP"
"enable_analog_resets","Enable pll_powerdown and mcgb_rst ports","","false","Enable pll_powerdown port"
"enable_mcgb","Include Master Clock Generation Block","{0 1}","0","When enabled Master CGB will be included as part of the IP. PLL output will feed the Master CGB input."
"mcgb_div","Clock division factor","1 2 4 8","1","Divides the Master CGB clock input before generating bonding clocks."
"enable_hfreq_clk","Enable x24 non-bonded high-speed clock output port","{0 1}","0","This output port can be used to access x6/xN clock lines for non-bonded designs"
"enable_mcgb_pcie_clksw","Enable PCIe clock switch interface","{0 1}","0","Enables the control signals for PCIe clock switch circuitry"
"enable_mcgb_reset","Enable mcgb_rst and mcgb_rst_stat ports","{0 1}","0","Enables the mcgb_rst and mcgb_rst_stat ports. Use these ports to control the reset of master CGB for PCIE Gen 3 x2/x4/x8/x16 configuration. Refer to Stratix 10 user guide for the reset sequence of PCIE Gen3 multi-lane configurations."
"mcgb_aux_clkin_cnt","Number of auxiliary MCGB clock input ports.","0 1","0","Auxiliary input is intended for PCIe Gen3, hence not available in FPLL"
"enable_bonding_clks","Enable bonding clock output ports","{0 1}","0","Should be enable for bonded designs"
"enable_fb_comp_bonding","Enable feedback compensation bonding","{0 1}","0",""
"pma_width","PMA interface width","8 10 16 20 32 40 64","64","PMA-PCS Interface width. Proper value must be selected for bonding clocks to be generated properly for Native PHY IP."
"enable_pld_mcgb_cal_busy_port","enable_pld_mcgb_cal_busy_port","0 1","0",""
